;image;nnodes;width;height;npixels;runtime_incr_contour_rb;runtime_incr_contour_hm;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;19;18;34
1;3.pgm;12174;320;320;102400;89;92;831
2;barb.pgm;62591;512;512;262144;326;286;3366
3;bird.pgm;7502;256;256;65536;43;34;609
4;boat.pgm;57281;512;512;262144;254;232;4168
5;bridge.pgm;19065;256;256;65536;94;92;969
6;camera.pgm;15079;256;256;65536;64;63;878
7;Fig.5.pgm;448;560;500;280000;40;44;714
8;Fig.17.pgm;4448;600;424;254400;94;97;6612
9;goldhill.pgm;60303;512;512;262144;257;233;3236
10;house.pgm;12641;256;256;65536;58;55;940
11;lena.pgm;49962;512;512;262144;213;194;3150
12;mandrill.pgm;85621;512;512;262144;462;401;4965
13;mountain.pgm;78546;640;480;307200;335;280;2260
14;output6.pgm;32687;540;460;248400;220;202;4143
15;peppers.pgm;62853;512;512;262144;208;195;3383
16;w2.pgm;42848;600;450;270000;202;190;3444
17;w6.pgm;28542;500;286;143000;127;120;2046
18;washsat.pgm;23318;512;512;262144;80;69;211
19;zelda.pgm;45342;512;512;262144;179;162;2851
