;image;nnodes;width;height;npixels;runtime_incr_contour_rb;runtime_incr_contour_hm;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;19;18;34
1;3.pgm;12174;320;320;102400;91;91;829
2;barb.pgm;62591;512;512;262144;326;289;3376
3;bird.pgm;7502;256;256;65536;43;34;624
4;boat.pgm;57281;512;512;262144;254;232;4156
5;bridge.pgm;19065;256;256;65536;96;94;963
6;camera.pgm;15079;256;256;65536;64;63;879
7;Fig.5.pgm;448;560;500;280000;40;44;712
8;Fig.17.pgm;4448;600;424;254400;93;98;6605
9;goldhill.pgm;60303;512;512;262144;261;234;3236
10;house.pgm;12641;256;256;65536;58;55;942
11;lena.pgm;49962;512;512;262144;213;192;3166
12;mandrill.pgm;85621;512;512;262144;463;404;4943
13;mountain.pgm;78546;640;480;307200;339;283;2265
14;output6.pgm;32687;540;460;248400;223;202;4151
15;peppers.pgm;62853;512;512;262144;211;194;3375
16;w2.pgm;42848;600;450;270000;203;189;3446
17;w6.pgm;28542;500;286;143000;126;125;2074
18;washsat.pgm;23318;512;512;262144;80;68;211
19;zelda.pgm;45342;512;512;262144;179;162;2864
