;image;nnodes;width;height;npixels;runtime_incr_contour_rb;runtime_incr_contour_hm;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;19;18;34
1;3.pgm;12174;320;320;102400;90;93;830
2;barb.pgm;62591;512;512;262144;326;286;3364
3;bird.pgm;7502;256;256;65536;38;34;610
4;boat.pgm;57281;512;512;262144;254;231;4173
5;bridge.pgm;19065;256;256;65536;94;92;968
6;camera.pgm;15079;256;256;65536;64;62;879
7;Fig.5.pgm;448;560;500;280000;40;44;711
8;Fig.17.pgm;4448;600;424;254400;93;98;6594
9;goldhill.pgm;60303;512;512;262144;258;233;3237
10;house.pgm;12641;256;256;65536;58;58;938
11;lena.pgm;49962;512;512;262144;213;194;3151
12;mandrill.pgm;85621;512;512;262144;462;401;4948
13;mountain.pgm;78546;640;480;307200;336;281;2266
14;output6.pgm;32687;540;460;248400;219;205;4159
15;peppers.pgm;62853;512;512;262144;211;197;3374
16;w2.pgm;42848;600;450;270000;204;190;3431
17;w6.pgm;28542;500;286;143000;127;119;2035
18;washsat.pgm;23318;512;512;262144;82;68;213
19;zelda.pgm;45342;512;512;262144;179;162;2852
