;image;nnodes;width;height;npixels;runtime_incr_contour_rb;runtime_incr_contour_hm;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;19;18;34
1;3.pgm;12174;320;320;102400;90;91;833
2;barb.pgm;62591;512;512;262144;327;286;3360
3;bird.pgm;7502;256;256;65536;37;34;609
4;boat.pgm;57281;512;512;262144;256;230;4173
5;bridge.pgm;19065;256;256;65536;96;91;962
6;camera.pgm;15079;256;256;65536;64;62;877
7;Fig.5.pgm;448;560;500;280000;40;44;713
8;Fig.17.pgm;4448;600;424;254400;95;96;6594
9;goldhill.pgm;60303;512;512;262144;256;235;3230
10;house.pgm;12641;256;256;65536;59;55;933
11;lena.pgm;49962;512;512;262144;216;193;3149
12;mandrill.pgm;85621;512;512;262144;461;399;4971
13;mountain.pgm;78546;640;480;307200;339;281;2290
14;output6.pgm;32687;540;460;248400;219;202;4156
15;peppers.pgm;62853;512;512;262144;210;195;3372
16;w2.pgm;42848;600;450;270000;202;189;3430
17;w6.pgm;28542;500;286;143000;126;122;2046
18;washsat.pgm;23318;512;512;262144;80;68;214
19;zelda.pgm;45342;512;512;262144;179;160;2854
