;image;nnodes;width;height;npixels;runtime_incr_contour_rb;runtime_incr_contour_hm;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;19;18;34
1;3.pgm;12174;320;320;102400;92;92;830
2;barb.pgm;62591;512;512;262144;325;286;3379
3;bird.pgm;7502;256;256;65536;38;34;610
4;boat.pgm;57281;512;512;262144;254;231;4184
5;bridge.pgm;19065;256;256;65536;94;91;969
6;camera.pgm;15079;256;256;65536;65;63;879
7;Fig.5.pgm;448;560;500;280000;40;44;718
8;Fig.17.pgm;4448;600;424;254400;93;97;6606
9;goldhill.pgm;60303;512;512;262144;257;235;3240
10;house.pgm;12641;256;256;65536;59;56;935
11;lena.pgm;49962;512;512;262144;212;193;3174
12;mandrill.pgm;85621;512;512;262144;459;400;4944
13;mountain.pgm;78546;640;480;307200;336;284;2253
14;output6.pgm;32687;540;460;248400;218;203;4204
15;peppers.pgm;62853;512;512;262144;208;196;3365
16;w2.pgm;42848;600;450;270000;202;189;3426
17;w6.pgm;28542;500;286;143000;125;119;2038
18;washsat.pgm;23318;512;512;262144;80;68;212
19;zelda.pgm;45342;512;512;262144;178;162;2856
