;image;nnodes;width;height;npixels;runtime_incr_contour_rb;runtime_incr_contour_hm;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;19;18;34
1;3.pgm;12174;320;320;102400;90;92;830
2;barb.pgm;62591;512;512;262144;325;288;3368
3;bird.pgm;7502;256;256;65536;38;34;612
4;boat.pgm;57281;512;512;262144;256;231;4161
5;bridge.pgm;19065;256;256;65536;95;90;965
6;camera.pgm;15079;256;256;65536;64;62;879
7;Fig.5.pgm;448;560;500;280000;40;44;710
8;Fig.17.pgm;4448;600;424;254400;92;95;6599
9;goldhill.pgm;60303;512;512;262144;260;233;3233
10;house.pgm;12641;256;256;65536;57;54;937
11;lena.pgm;49962;512;512;262144;212;192;3173
12;mandrill.pgm;85621;512;512;262144;459;398;4935
13;mountain.pgm;78546;640;480;307200;335;282;2250
14;output6.pgm;32687;540;460;248400;219;202;4141
15;peppers.pgm;62853;512;512;262144;207;193;3375
16;w2.pgm;42848;600;450;270000;225;191;3459
17;w6.pgm;28542;500;286;143000;126;121;2038
18;washsat.pgm;23318;512;512;262144;80;68;212
19;zelda.pgm;45342;512;512;262144;179;162;2873
