;image;nnodes;width;height;npixels;runtime_incr_contour_rb;runtime_incr_contour_hm;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;18;18;34
1;3.pgm;12174;320;320;102400;89;91;835
2;barb.pgm;62591;512;512;262144;326;285;3373
3;bird.pgm;7502;256;256;65536;38;34;609
4;boat.pgm;57281;512;512;262144;254;231;4154
5;bridge.pgm;19065;256;256;65536;93;92;964
6;camera.pgm;15079;256;256;65536;64;63;880
7;Fig.5.pgm;448;560;500;280000;40;44;714
8;Fig.17.pgm;4448;600;424;254400;94;95;6600
9;goldhill.pgm;60303;512;512;262144;257;233;3234
10;house.pgm;12641;256;256;65536;58;55;936
11;lena.pgm;49962;512;512;262144;214;195;3155
12;mandrill.pgm;85621;512;512;262144;462;400;4953
13;mountain.pgm;78546;640;480;307200;337;285;2254
14;output6.pgm;32687;540;460;248400;220;206;4135
15;peppers.pgm;62853;512;512;262144;209;194;3379
16;w2.pgm;42848;600;450;270000;202;192;3447
17;w6.pgm;28542;500;286;143000;128;120;2031
18;washsat.pgm;23318;512;512;262144;80;68;212
19;zelda.pgm;45342;512;512;262144;182;163;2851
