;image;nnodes;width;height;npixels;runtime_incr_contour_rb;runtime_incr_contour_hm;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;19;18;35
1;3.pgm;12174;320;320;102400;90;92;830
2;barb.pgm;62591;512;512;262144;329;286;3381
3;bird.pgm;7502;256;256;65536;38;34;611
4;boat.pgm;57281;512;512;262144;254;232;4150
5;bridge.pgm;19065;256;256;65536;94;93;965
6;camera.pgm;15079;256;256;65536;64;62;882
7;Fig.5.pgm;448;560;500;280000;40;44;716
8;Fig.17.pgm;4448;600;424;254400;93;97;6615
9;goldhill.pgm;60303;512;512;262144;257;233;3232
10;house.pgm;12641;256;256;65536;59;55;931
11;lena.pgm;49962;512;512;262144;214;193;3179
12;mandrill.pgm;85621;512;512;262144;462;402;4954
13;mountain.pgm;78546;640;480;307200;336;282;2289
14;output6.pgm;32687;540;460;248400;219;204;4155
15;peppers.pgm;62853;512;512;262144;208;195;3377
16;w2.pgm;42848;600;450;270000;202;189;3433
17;w6.pgm;28542;500;286;143000;125;120;2033
18;washsat.pgm;23318;512;512;262144;80;68;211
19;zelda.pgm;45342;512;512;262144;181;164;2862
