;image;nnodes;width;height;npixels;runtime_incr_contour;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;19;34
1;3.pgm;12174;320;320;102400;92;868
2;barb.pgm;62591;512;512;262144;329;3507
3;bird.pgm;7502;256;256;65536;38;623
4;boat.pgm;57281;512;512;262144;254;4265
5;bridge.pgm;19065;256;256;65536;94;1007
6;camera.pgm;15079;256;256;65536;64;908
7;Fig.5.pgm;448;560;500;280000;40;717
8;Fig.17.pgm;4448;600;424;254400;93;6623
9;goldhill.pgm;60303;512;512;262144;257;3323
10;house.pgm;12641;256;256;65536;58;954
11;lena.pgm;49962;512;512;262144;213;3234
12;mandrill.pgm;85621;512;512;262144;460;5155
13;mountain.pgm;78546;640;480;307200;335;2363
14;output6.pgm;32687;540;460;248400;220;4218
15;peppers.pgm;62853;512;512;262144;208;3449
16;w2.pgm;42848;600;450;270000;203;3494
17;w6.pgm;28542;500;286;143000;126;2087
18;washsat.pgm;23318;512;512;262144;81;213
19;zelda.pgm;45342;512;512;262144;177;2918
