;image;nnodes;width;height;npixels;runtime_incr_contour;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;29;36
1;3.pgm;12174;320;320;102400;89;874
2;barb.pgm;62591;512;512;262144;325;3501
3;bird.pgm;7502;256;256;65536;38;622
4;boat.pgm;57281;512;512;262144;254;4256
5;bridge.pgm;19065;256;256;65536;93;1006
6;camera.pgm;15079;256;256;65536;64;905
7;Fig.5.pgm;448;560;500;280000;39;717
8;Fig.17.pgm;4448;600;424;254400;92;6635
9;goldhill.pgm;60303;512;512;262144;260;3312
10;house.pgm;12641;256;256;65536;58;955
11;lena.pgm;49962;512;512;262144;216;3227
12;mandrill.pgm;85621;512;512;262144;462;5134
13;mountain.pgm;78546;640;480;307200;338;2363
14;output6.pgm;32687;540;460;248400;218;4244
15;peppers.pgm;62853;512;512;262144;208;3460
16;w2.pgm;42848;600;450;270000;203;3487
17;w6.pgm;28542;500;286;143000;126;2104
18;washsat.pgm;23318;512;512;262144;80;214
19;zelda.pgm;45342;512;512;262144;181;2905
