;image;nnodes;width;height;npixels;runtime_incr_contour;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;20;35
1;3.pgm;12174;320;320;102400;91;868
2;barb.pgm;62591;512;512;262144;327;3523
3;bird.pgm;7502;256;256;65536;38;621
4;boat.pgm;57281;512;512;262144;254;4265
5;bridge.pgm;19065;256;256;65536;94;1008
6;camera.pgm;15079;256;256;65536;64;910
7;Fig.5.pgm;448;560;500;280000;40;722
8;Fig.17.pgm;4448;600;424;254400;93;6626
9;goldhill.pgm;60303;512;512;262144;256;3329
10;house.pgm;12641;256;256;65536;59;960
11;lena.pgm;49962;512;512;262144;215;3234
12;mandrill.pgm;85621;512;512;262144;459;5154
13;mountain.pgm;78546;640;480;307200;338;2363
14;output6.pgm;32687;540;460;248400;222;4301
15;peppers.pgm;62853;512;512;262144;208;3446
16;w2.pgm;42848;600;450;270000;206;3492
17;w6.pgm;28542;500;286;143000;125;2094
18;washsat.pgm;23318;512;512;262144;80;218
19;zelda.pgm;45342;512;512;262144;180;2913
