;image;nnodes;width;height;npixels;runtime_incr_contour;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;19;35
1;3.pgm;12174;320;320;102400;91;871
2;barb.pgm;62591;512;512;262144;330;3528
3;bird.pgm;7502;256;256;65536;39;622
4;boat.pgm;57281;512;512;262144;253;4271
5;bridge.pgm;19065;256;256;65536;95;1014
6;camera.pgm;15079;256;256;65536;65;907
7;Fig.5.pgm;448;560;500;280000;41;717
8;Fig.17.pgm;4448;600;424;254400;101;6627
9;goldhill.pgm;60303;512;512;262144;257;3321
10;house.pgm;12641;256;256;65536;58;956
11;lena.pgm;49962;512;512;262144;214;3238
12;mandrill.pgm;85621;512;512;262144;461;5161
13;mountain.pgm;78546;640;480;307200;335;2367
14;output6.pgm;32687;540;460;248400;220;4246
15;peppers.pgm;62853;512;512;262144;207;3444
16;w2.pgm;42848;600;450;270000;203;3488
17;w6.pgm;28542;500;286;143000;126;2101
18;washsat.pgm;23318;512;512;262144;82;210
19;zelda.pgm;45342;512;512;262144;177;2912
