;image;nnodes;width;height;npixels;runtime_incr_contour;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;19;34
1;3.pgm;12174;320;320;102400;92;868
2;barb.pgm;62591;512;512;262144;326;3520
3;bird.pgm;7502;256;256;65536;37;621
4;boat.pgm;57281;512;512;262144;254;4276
5;bridge.pgm;19065;256;256;65536;94;1005
6;camera.pgm;15079;256;256;65536;67;905
7;Fig.5.pgm;448;560;500;280000;39;727
8;Fig.17.pgm;4448;600;424;254400;94;6663
9;goldhill.pgm;60303;512;512;262144;256;3319
10;house.pgm;12641;256;256;65536;59;953
11;lena.pgm;49962;512;512;262144;212;3243
12;mandrill.pgm;85621;512;512;262144;460;5160
13;mountain.pgm;78546;640;480;307200;340;2361
14;output6.pgm;32687;540;460;248400;219;4233
15;peppers.pgm;62853;512;512;262144;207;3445
16;w2.pgm;42848;600;450;270000;203;3488
17;w6.pgm;28542;500;286;143000;128;2086
18;washsat.pgm;23318;512;512;262144;80;213
19;zelda.pgm;45342;512;512;262144;177;2908
