;image;nnodes;width;height;npixels;runtime_incr_contour;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;19;35
1;3.pgm;12174;320;320;102400;91;831
2;barb.pgm;62591;512;512;262144;286;3365
3;bird.pgm;7502;256;256;65536;34;612
4;boat.pgm;57281;512;512;262144;230;4167
5;bridge.pgm;19065;256;256;65536;91;963
6;camera.pgm;15079;256;256;65536;63;881
7;Fig.5.pgm;448;560;500;280000;44;712
8;Fig.17.pgm;4448;600;424;254400;97;6643
9;goldhill.pgm;60303;512;512;262144;232;3250
10;house.pgm;12641;256;256;65536;55;935
11;lena.pgm;49962;512;512;262144;194;3161
12;mandrill.pgm;85621;512;512;262144;402;4937
13;mountain.pgm;78546;640;480;307200;282;2249
14;output6.pgm;32687;540;460;248400;202;4185
15;peppers.pgm;62853;512;512;262144;193;3367
16;w2.pgm;42848;600;450;270000;191;3440
17;w6.pgm;28542;500;286;143000;120;2040
18;washsat.pgm;23318;512;512;262144;68;211
19;zelda.pgm;45342;512;512;262144;161;2862
