;image;nnodes;width;height;npixels;runtime_incr_contour;runtime_non_incr_contour
0;2.pgm;2;400;611;244400;18;34
1;3.pgm;12174;320;320;102400;91;834
2;barb.pgm;62591;512;512;262144;286;3363
3;bird.pgm;7502;256;256;65536;33;610
4;boat.pgm;57281;512;512;262144;232;4173
5;bridge.pgm;19065;256;256;65536;90;962
6;camera.pgm;15079;256;256;65536;62;881
7;Fig.5.pgm;448;560;500;280000;44;710
8;Fig.17.pgm;4448;600;424;254400;101;6604
9;goldhill.pgm;60303;512;512;262144;234;3258
10;house.pgm;12641;256;256;65536;55;937
11;lena.pgm;49962;512;512;262144;194;3152
12;mandrill.pgm;85621;512;512;262144;405;4935
13;mountain.pgm;78546;640;480;307200;283;2319
14;output6.pgm;32687;540;460;248400;204;4155
15;peppers.pgm;62853;512;512;262144;197;3380
16;w2.pgm;42848;600;450;270000;190;3442
17;w6.pgm;28542;500;286;143000;120;2037
18;washsat.pgm;23318;512;512;262144;69;210
19;zelda.pgm;45342;512;512;262144;162;2859
